PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32165894","Ganglion Cell Topography Indicates Pre- or Postnatal Damage to the Retro-Geniculate Visual System, Predicts Visual Field Function and May Identify Cerebral Visual Impairment in Children - A Multiple Case Study","Jacobson L, Lennartsson F, Nilsson M.","Neuroophthalmology. 2019 Mar 11;43(6):363-370. doi: 10.1080/01658107.2019.1583760. eCollection 2019 Dec.","Jacobson L","Neuroophthalmology","2019","2020/03/14","PMC7053927","","10.1080/01658107.2019.1583760"
"32140241","Suppressed competitive exclusion enabled the proliferation of Permian/Triassic boundary microbialites","Foster WJ, Heindel K, Richoz S, Gliwa J, Lehrmann DJ, Baud A, Kolar-Jurkovšek T, Aljinović D, Jurkovšek B, Korn D, Martindale RC, Peckmann J.","Depos Rec. 2020 Feb;6(1):62-74. doi: 10.1002/dep2.97. Epub 2019 Nov 20.","Foster WJ","Depos Rec","2020","2020/03/07","PMC7043383","","10.1002/dep2.97"
"32095547","RTTs-time to prepare for the advent of proton therapy","Wong S, Kristensan I.","Tech Innov Patient Support Radiat Oncol. 2019 Nov 8;11:26. doi: 10.1016/j.tipsro.2019.10.001. eCollection 2019 Sep.","Wong S","Tech Innov Patient Support Radiat Oncol","2019","2020/02/26","PMC7033790","","10.1016/j.tipsro.2019.10.001"
"32089845","Operating theatre nurse specialist competence to ensure patient safety in the operating theatre: A discursive paper","von Vogelsang AC, Swenne CL, Gustafsson BÅ, Falk Brynhildsen K.","Nurs Open. 2019 Nov 26;7(2):495-502. doi: 10.1002/nop2.424. eCollection 2020 Mar.","von Vogelsang AC","Nurs Open","2019","2020/02/25","PMC7024629","","10.1002/nop2.424"
"32082302","Antimicrobial and Immunomodulatory Effect of Gum Arabic on Human and Bovine Granulocytes Against Staphylococcus aureus and Escherichia coli","Baien SH, Seele J, Henneck T, Freibrodt C, Szura G, Moubasher H, Nau R, Brogden G, Mörgelin M, Singh M, Kietzmann M, von Köckritz-Blickwede M, de Buhr N.","Front Immunol. 2020 Jan 31;10:3119. doi: 10.3389/fimmu.2019.03119. eCollection 2019.","Baien SH","Front Immunol","2020","2020/02/22","PMC7005937","","10.3389/fimmu.2019.03119"
"32072136","Mantle Cell Lymphoma of Mucosa-Associated Lymphoid Tissue: A European Mantle Cell Lymphoma Network Study","Morello L, Rattotti S, Giordano L, Jerkeman M, van Meerten T, Krawczyk K, Moita F, Marino D, Ferrero S, Szymczyk M, Aurer I, El-Galaly TC, Di Rocco A, Visco C, Carli G, Defrancesco I, Carlo-Stella C, Dreyling M, Santoro A, Arcaini L.","Hemasphere. 2019 Dec 16;4(1):e302. doi: 10.1097/HS9.0000000000000302. eCollection 2020 Feb.","Morello L","Hemasphere","2019","2020/02/20","PMC7000480","","10.1097/HS9.0000000000000302"
"32039128","Structural Factors Responsible for Universal Health Coverage in Low- and Middle-Income Countries: Results From 118 Countries","Ranabhat CL, Jakovljevic M, Dhimal M, Kim CB.","Front Public Health. 2020 Jan 21;7:414. doi: 10.3389/fpubh.2019.00414. eCollection 2019.","Ranabhat CL","Front Public Health","2020","2020/02/11","PMC6985282","","10.3389/fpubh.2019.00414"
"32038401","Validation of Subjective Well-Being Measures Using Item Response Theory","Nima AA, Cloninger KM, Persson BN, Sikström S, Garcia D.","Front Psychol. 2020 Jan 22;10:3036. doi: 10.3389/fpsyg.2019.03036. eCollection 2019.","Nima AA","Front Psychol","2020","2020/02/11","PMC6987476","","10.3389/fpsyg.2019.03036"
"32030136","Phytoremediation performance of floating treatment wetlands with pelletized mine water sludge for synthetic greywater treatment","Abed SN, Almuktar SA, Scholz M.","J Environ Health Sci Eng. 2019 Apr 18;17(2):581-608. doi: 10.1007/s40201-019-00372-z. eCollection 2019 Dec.","Abed SN","J Environ Health Sci Eng","2019","2020/02/08","PMC6985343","","10.1007/s40201-019-00372-z"
"32029226","Glucocorticoid induces human beta cell dysfunction by involving riborepressor GAS5 LincRNA","Esguerra JLS, Ofori JK, Nagao M, Shuto Y, Karagiannopoulos A, Fadista J, Sugihara H, Groop L, Eliasson L.","Mol Metab. 2020 Feb;32:160-167. doi: 10.1016/j.molmet.2019.12.012. Epub 2019 Dec 27.","Esguerra JLS","Mol Metab","2020","2020/02/08","PMC6976904","","10.1016/j.molmet.2019.12.012"
"32011815","Influence of primary tumour and patient factors on survival in patients undergoing curative resection and treatment for liver metastases from colorectal cancer","Scherman P, Syk I, Holmberg E, Naredi P, Rizell M.","BJS Open. 2020 Feb;4(1):118-132. doi: 10.1002/bjs5.50237. Epub 2019 Dec 2.","Scherman P","BJS Open","2020","2020/02/04","PMC6996641","","10.1002/bjs5.50237"
"32011814","Treatment patterns and survival in patients with hepatocellular carcinoma in the Swedish national registry SweLiv","Henriksson M, Björnsson B, Sternby Eilard M, Lindell G, Strömberg C, Hemmingsson O, Isaksson B, Rizell M, Sandström P.","BJS Open. 2020 Feb;4(1):109-117. doi: 10.1002/bjs5.50226. Epub 2019 Nov 20.","Henriksson M","BJS Open","2020","2020/02/04","PMC6996573","","10.1002/bjs5.50226"
"32010875","The Incretin Effect in Female Mice With Double Deletion of GLP-1 and GIP Receptors","Ahrén B, Yamada Y, Seino Y.","J Endocr Soc. 2019 Dec 23;4(2):bvz036. doi: 10.1210/jendso/bvz036. eCollection 2020 Feb 1.","Ahrén B","J Endocr Soc","2019","2020/02/04","PMC6984998","","10.1210/jendso/bvz036"
"32010633","Ultra-High Dose Rate (FLASH) Radiotherapy: Silver Bullet or Fool's Gold?","Wilson JD, Hammond EM, Higgins GS, Petersson K.","Front Oncol. 2020 Jan 17;9:1563. doi: 10.3389/fonc.2019.01563. eCollection 2019.","Wilson JD","Front Oncol","2020","2020/02/04","PMC6979639","","10.3389/fonc.2019.01563"
"32009987","The Eye of the Common Octopus (Octopus vulgaris)","Hanke FD, Kelber A.","Front Physiol. 2020 Jan 14;10:1637. doi: 10.3389/fphys.2019.01637. eCollection 2019.","Hanke FD","Front Physiol","2020","2020/02/04","PMC6971404","","10.3389/fphys.2019.01637"
"31998753","Predictors of the Need for an Atrial Septal Defect Closure at Very Young Age","Tanghöj G, Liuba P, Sjöberg G, Naumburg E.","Front Cardiovasc Med. 2020 Jan 10;6:185. doi: 10.3389/fcvm.2019.00185. eCollection 2019.","Tanghöj G","Front Cardiovasc Med","2020","2020/01/31","PMC6965016","","10.3389/fcvm.2019.00185"
"31998505","Autonomic and peripheral neuropathy with reduced intraepidermal nerve fiber density can be observed in patients with gastrointestinal dysmotility","Ohlsson B, Dahlin LB, Englund E, Veress B.","Clin Case Rep. 2019 Dec 4;8(1):142-148. doi: 10.1002/ccr3.2575. eCollection 2020 Jan.","Ohlsson B","Clin Case Rep","2019","2020/01/31","PMC6982522","","10.1002/ccr3.2575"
"31998074","Internal Clocks, mGluR7 and Microtubules: A Primer for the Molecular Encoding of Target Durations in Cerebellar Purkinje Cells and Striatal Medium Spiny Neurons","Yousefzadeh SA, Hesslow G, Shumyatsky GP, Meck WH.","Front Mol Neurosci. 2020 Jan 10;12:321. doi: 10.3389/fnmol.2019.00321. eCollection 2019.","Yousefzadeh SA","Front Mol Neurosci","2020","2020/01/31","PMC6965020","","10.3389/fnmol.2019.00321"
"31993087","Increased genetic marker density reveals high levels of admixture between red deer and introduced Japanese sika in Kintyre, Scotland","McFarlane SE, Hunter DC, Senn HV, Smith SL, Holland R, Huisman J, Pemberton JM.","Evol Appl. 2019 Nov 6;13(2):432-441. doi: 10.1111/eva.12880. eCollection 2020 Feb.","McFarlane SE","Evol Appl","2019","2020/01/30","PMC6976951","","10.1111/eva.12880"
"31993001","They (Don't) Need Us: Functional Indispensability Impacts Perceptions of Representativeness and Commitment When Lower-Status Groups Go Through an Intergroup Merger","Rosa M, Giessner S, Guerra R, Waldzus S, Kersting AM, Veličković K, Collins EC.","Front Psychol. 2020 Jan 14;10:2772. doi: 10.3389/fpsyg.2019.02772. eCollection 2019.","Rosa M","Front Psychol","2020","2020/01/30","PMC6971101","","10.3389/fpsyg.2019.02772"
"31969808","Reelin Immunoreactivity in the Adult Spinal Cord: A Comparative Study in Rodents, Carnivores, and Non-human Primates","Krzyzanowska A, Cabrerizo M, Clascá F, Ramos-Moreno T.","Front Neuroanat. 2020 Jan 8;13:102. doi: 10.3389/fnana.2019.00102. eCollection 2019.","Krzyzanowska A","Front Neuroanat","2020","2020/01/24","PMC6960112","","10.3389/fnana.2019.00102"
"31966960","Collaboration between orthopaedic surgeons and infection specialists in bone and joint infections","Hedström SÅ, Lidgren L.","J Bone Jt Infect. 2019 Nov 20;4(6):292-294. doi: 10.7150/jbji.41662. eCollection 2019.","Hedström SÅ","J Bone Jt Infect","2019","2020/01/23","PMC6960025","","10.7150/jbji.41662"
"31966959","A population-based study on the treatment and outcome of enterococcal prosthetic joint infections. A consecutive series of 55 cases","Thompson O, Rasmussen M, Stefánsdóttir A, Christensson B, Åkesson P.","J Bone Jt Infect. 2019 Nov 7;4(6):285-291. doi: 10.7150/jbji.35683. eCollection 2019.","Thompson O","J Bone Jt Infect","2019","2020/01/23","PMC6960026","","10.7150/jbji.35683"
"31962234","Defining lncRNAs Correlated with CHO Cell Growth and IgG Productivity by RNA-Seq","Vito D, Eriksen JC, Skjødt C, Weilguny D, Rasmussen SK, Smales CM.","iScience. 2020 Jan 24;23(1):100785. doi: 10.1016/j.isci.2019.100785. Epub 2019 Dec 18.","Vito D","iScience","2020","2020/01/22","PMC6971398","","10.1016/j.isci.2019.100785"
"31948600","The body's integrated repair kit: Studying mesenchymal stem cells for better ligament repair","Häfner SJ.","Biomed J. 2019 Dec;42(6):365-370. doi: 10.1016/j.bj.2019.12.001.","Häfner SJ","Biomed J","2019","2020/01/18","PMC6962754","","10.1016/j.bj.2019.12.001"
"31942541","Fundamentals for a Systematic Approach to Mild and Moderate Inherited Bleeding Disorders: An EHA Consensus Report","Rodeghiero F, Pabinger I, Ragni M, Abdul-Kadir R, Berntorp E, Blanchette V, Bodó I, Casini A, Gresele P, Lassila R, Leebeek F, Lillicrap D, Mezzano D, Noris P, Srivastava A, Tosetto A, Windyga J, Zieger B, Makris M, Key N.","Hemasphere. 2019 Sep 17;3(4):e286. doi: 10.1097/HS9.0000000000000286. eCollection 2019 Oct.","Rodeghiero F","Hemasphere","2019","2020/01/17","PMC6919472","","10.1097/HS9.0000000000000286"
"31921817","Evaluation of Sequential Processing for the Extraction of Starch, Lipids, and Proteins From Wheat Bran","Sardari RRR, Sutiono S, Azeem HA, Galbe M, Larsson M, Turner C, Nordberg Karlsson E.","Front Bioeng Biotechnol. 2019 Dec 13;7:413. doi: 10.3389/fbioe.2019.00413. eCollection 2019.","Sardari RRR","Front Bioeng Biotechnol","2019","2020/01/11","PMC6923635","","10.3389/fbioe.2019.00413"
"31921464","Tumor and nodal staging of colon cancer: accuracy of preoperative computed tomography at a Swedish high-volume center","Korsbakke K, Dahlbäck C, Karlsson N, Zackrisson S, Buchwald P.","Acta Radiol Open. 2019 Dec 30;8(12):2058460119888713. doi: 10.1177/2058460119888713. eCollection 2019 Dec.","Korsbakke K","Acta Radiol Open","2019","2020/01/11","PMC6939391","","10.1177/2058460119888713"
"31921109","Understanding and Modulating Immunity With Cell Reprogramming","Pires CF, Rosa FF, Kurochkin I, Pereira CF.","Front Immunol. 2019 Dec 11;10:2809. doi: 10.3389/fimmu.2019.02809. eCollection 2019.","Pires CF","Front Immunol","2019","2020/01/11","PMC6917620","","10.3389/fimmu.2019.02809"
"31920758","Few Differences in the Externalizing and Criminal History of Young Violent Offenders With and Without Autism Spectrum Disorders","Hofvander B, Bering S, Tärnhäll A, Wallinius M, Billstedt E.","Front Psychiatry. 2019 Dec 17;10:911. doi: 10.3389/fpsyt.2019.00911. eCollection 2019.","Hofvander B","Front Psychiatry","2019","2020/01/11","PMC6927936","","10.3389/fpsyt.2019.00911"
"31920368","Nonpharmacological Interventions Addressing Pain, Sleep, and Quality of Life in Children and Adolescents with Primary Headache: A Systematic Review","Klausen SH, Rønde G, Tornøe B, Bjerregaard L.","J Pain Res. 2019 Dec 23;12:3437-3459. doi: 10.2147/JPR.S216807. eCollection 2019.","Klausen SH","J Pain Res","2019","2020/01/11","PMC6939407","","10.2147/JPR.S216807"
"31915520","Predictive Factors of Concerns about Falling in People with Parkinson's Disease: A 3-Year Longitudinal Study","Lindh-Rengifo M, Jonasson SB, Mattsson N, Ullén S, Nilsson MH.","Parkinsons Dis. 2019 Dec 12;2019:4747320. doi: 10.1155/2019/4747320. eCollection 2019.","Lindh-Rengifo M","Parkinsons Dis","2019","2020/01/10","PMC6930729","","10.1155/2019/4747320"
"31911995","Cardiac magnetic resonance imaging in a patient with temporary external pacemaker: a case report","Chaudhry U, Svensson J, Mosén H, Mörtsell D.","Eur Heart J Case Rep. 2019 Dec;3(4):1-4. doi: 10.1093/ehjcr/ytz228. Epub 2019 Dec 17.","Chaudhry U","Eur Heart J Case Rep","2019","2020/01/09","PMC6939813","","10.1093/ehjcr/ytz228"
"31909302","CFTR Therapeutics Normalize Cerebral Perfusion Deficits in Mouse Models of Heart Failure and Subarachnoid Hemorrhage","Lidington D, Fares JC, Uhl FE, Dinh DD, Kroetsch JT, Sauvé M, Malik FA, Matthes F, Vanherle L, Adel A, Momen A, Zhang H, Aschar-Sobbi R, Foltz WD, Wan H, Sumiyoshi M, Macdonald RL, Husain M, Backx PH, Heximer SP, Meissner A, Bolz SS.","JACC Basic Transl Sci. 2019 Nov 27;4(8):940-958. doi: 10.1016/j.jacbts.2019.07.004. eCollection 2019 Dec.","Lidington D","JACC Basic Transl Sci","2019","2020/01/08","PMC6939007","","10.1016/j.jacbts.2019.07.004"
"31909299","Associations of Interleukin-5 With Plaque Development and Cardiovascular Events","Knutsson A, Björkbacka H, Dunér P, Engström G, Binder CJ, Nilsson AH, Nilsson J.","JACC Basic Transl Sci. 2019 Nov 6;4(8):891-902. doi: 10.1016/j.jacbts.2019.07.002. eCollection 2019 Dec.","Knutsson A","JACC Basic Transl Sci","2019","2020/01/08","PMC6939009","","10.1016/j.jacbts.2019.07.002"
"31909251","Profiling of lincRNAs in human pluripotent stem cell derived forebrain neural progenitor cells","Grassi DA, Brattås PL, Jönsson ME, Atacho D, Karlsson O, Nolbrant S, Parmar M, Jakobsson J.","Heliyon. 2019 Dec 31;6(1):e03067. doi: 10.1016/j.heliyon.2019.e03067. eCollection 2020 Jan.","Grassi DA","Heliyon","2019","2020/01/08","PMC6940631","","10.1016/j.heliyon.2019.e03067"
"31909093","Understanding User Involvement in Research in Aging and Health","Iwarsson S, Edberg AK, Ivanoff SD, Hanson E, Jönson H, Schmidt S.","Gerontol Geriatr Med. 2019 Dec 29;5:2333721419897781. doi: 10.1177/2333721419897781. eCollection 2019 Jan-Dec.","Iwarsson S","Gerontol Geriatr Med","2019","2020/01/08","PMC6937534","","10.1177/2333721419897781"
"31908768","Higher plasma fibroblast growth factor 23 levels are associated with a higher risk profile in pulmonary arterial hypertension","Bouzina H, Hesselstrand R, Rådegran G.","Pulm Circ. 2019 Dec 27;9(4):2045894019895446. doi: 10.1177/2045894019895446. eCollection 2019 Oct-Dec.","Bouzina H","Pulm Circ","2019","2020/01/08","PMC6935881","","10.1177/2045894019895446"
"31908766","Matrix metalloproteinase 7 in diagnosis and differentiation of pulmonary arterial hypertension","Arvidsson M, Ahmed A, Bouzina H, Rådegran G.","Pulm Circ. 2019 Dec 27;9(4):2045894019895414. doi: 10.1177/2045894019895414. eCollection 2019 Oct-Dec.","Arvidsson M","Pulm Circ","2019","2020/01/08","PMC6935882","","10.1177/2045894019895414"
"31908551","The General Population's View on Where to Seek Treatment for Gambling Disorder - a General Population Survey","Håkansson A, Ford M.","Psychol Res Behav Manag. 2019 Dec 19;12:1137-1146. doi: 10.2147/PRBM.S226982. eCollection 2019.","Håkansson A","Psychol Res Behav Manag","2019","2020/01/08","PMC6927584","","10.2147/PRBM.S226982"
"31908403","Long-term follow-up of retinal function and structure in TRPM1-associated complete congenital stationary night blindness","Al-Hujaili H, Taskintuna I, Neuhaus C, Bergmann C, Schatz P.","Mol Vis. 2019 Dec 19;25:851-858. eCollection 2019.","Al-Hujaili H","Mol Vis","2019","2020/01/08","PMC6937218","",""
"31905828","Simple Carbohydrate Derivatives Diminish the Formation of Biofilm of the Pathogenic Yeast Candida albicans","Ishchuk OP, Sterner O, Ellervik U, Manner S.","Antibiotics (Basel). 2019 Dec 30;9(1):10. doi: 10.3390/antibiotics9010010.","Ishchuk OP","Antibiotics (Basel)","2019","2020/01/08","PMC7167926","","10.3390/antibiotics9010010"
"31905608","Health and Work Environment among Female and Male Swedish Elementary School Teachers-A Cross-Sectional Study","Boström M, Björklund C, Bergström G, Nybergh L, Schäfer Elinder L, Stigmar K, Wåhlin C, Jensen I, Kwak L.","Int J Environ Res Public Health. 2019 Dec 28;17(1):227. doi: 10.3390/ijerph17010227.","Boström M","Int J Environ Res Public Health","2019","2020/01/08","PMC6982179","","10.3390/ijerph17010227"
"31903195","Pollination treatment affects fruit set and modifies marketable and storable fruit quality of commercial apples","Samnegård U, Hambäck PA, Smith HG.","R Soc Open Sci. 2019 Dec 11;6(12):190326. doi: 10.1098/rsos.190326. eCollection 2019 Dec.","Samnegård U","R Soc Open Sci","2019","2020/01/07","PMC6936272","","10.1098/rsos.190326"
"31897426","The value of complementary co-workers","Neffke FMH.","Sci Adv. 2019 Dec 18;5(12):eaax3370. doi: 10.1126/sciadv.aax3370. eCollection 2019 Dec.","Neffke FMH","Sci Adv","2019","2020/01/04","PMC6920024","","10.1126/sciadv.aax3370"
"31897413","Elite Ice Hockey Goalkeepers Have a High Prevalence of Hip and Groin Problems Associated With Decreased Sporting Function: A Single-Season Prospective Cohort Study","Wörner T, Clarsen B, Thorborg K, Eek F.","Orthop J Sports Med. 2019 Dec 18;7(12):2325967119892586. doi: 10.1177/2325967119892586. eCollection 2019 Dec.","Wörner T","Orthop J Sports Med","2019","2020/01/04","PMC6920599","","10.1177/2325967119892586"
"31892363","Digital twins to personalize medicine","Björnsson B, Borrebaeck C, Elander N, Gasslander T, Gawel DR, Gustafsson M, Jörnsten R, Lee EJ, Li X, Lilja S, Martínez-Enguita D, Matussek A, Sandström P, Schäfer S, Stenmarker M, Sun XF, Sysoev O, Zhang H, Benson M; Swedish Digital Twin Consortium.","Genome Med. 2019 Dec 31;12(1):4. doi: 10.1186/s13073-019-0701-3.","Björnsson B","Genome Med","2019","2020/01/02","PMC6938608","","10.1186/s13073-019-0701-3"
"31892314","Pre-contrast T1 and cartilage thickness as confounding factors in dGEMRIC when evaluating human cartilage adaptation to physical activity","Tiderius CJ, Hawezi ZK, Olsson LE, Dahlberg LE.","BMC Med Imaging. 2019 Dec 31;20(1):1. doi: 10.1186/s12880-019-0399-0.","Tiderius CJ","BMC Med Imaging","2019","2020/01/02","PMC6938637","","10.1186/s12880-019-0399-0"
"31892307","An update on hepatitis C virus genotype distribution in Jordan: a 12-year retrospective study from a tertiary care teaching hospital in Amman","Sallam M, Batarseh R, Natsheh A, Abbadi J, Al-Fraihat E, Yaseen A, Kaddomi D, Khamees N, Mahafzah A, Şahin GÖ.","BMC Infect Dis. 2019 Dec 31;20(1):3. doi: 10.1186/s12879-019-4735-3.","Sallam M","BMC Infect Dis","2019","2020/01/02","PMC6938611","","10.1186/s12879-019-4735-3"
"31892223","Comparative Structural Analysis of Different Mycobacteriophage-Derived Mycolylarabinogalactan Esterases (Lysin B)","Korany AH, Abouhmad A, Bakeer W, Essam T, Amin MA, Hatti-Kaul R, Dishisha T.","Biomolecules. 2019 Dec 27;10(1):45. doi: 10.3390/biom10010045.","Korany AH","Biomolecules","2019","2020/01/02","PMC7022511","","10.3390/biom10010045"
"31892153","Validation of Health Education Material for Youth: A Step to Ensure Implementation Fidelity in Community-Based Interventions","Sharma S, Akhtar F, Singh RK, Mehra S.","Healthcare (Basel). 2019 Dec 27;8(1):8. doi: 10.3390/healthcare8010008.","Sharma S","Healthcare (Basel)","2019","2020/01/02","PMC7151179","","10.3390/healthcare8010008"
"31892103","Purification of Sucrose in Sugar Beet Molasses by Utilizing Ceramic Nanofiltration and Ultrafiltration Membranes","Sjölin M, Thuvander J, Wallberg O, Lipnizki F.","Membranes (Basel). 2019 Dec 27;10(1):5. doi: 10.3390/membranes10010005.","Sjölin M","Membranes (Basel)","2019","2020/01/02","PMC7022711","","10.3390/membranes10010005"
"31891059","Structural Control of Charge Storage Capacity to Achieve 100% Doping in Vapor Phase-Polymerized PEDOT/Tosylate","Rehmen J, Zuber K, Modarresi M, Kim D, Charrault E, Jannasch P, Zozoulenko I, Evans D, Karlsson C.","ACS Omega. 2019 Dec 11;4(26):21818-21826. doi: 10.1021/acsomega.9b02710. eCollection 2019 Dec 24.","Rehmen J","ACS Omega","2019","2020/01/01","PMC6933595","","10.1021/acsomega.9b02710"
"31890880","Survival benefits from concomitant chemoradiotherapy before radical surgery in stage IVA sinonasal mucosal melanoma?","Hafström A, Brun E, Persson S, Sjövall J, Wahlberg P, Greiff L.","Laryngoscope Investig Otolaryngol. 2019 Nov 22;4(6):624-631. doi: 10.1002/lio2.317. eCollection 2019 Dec.","Hafström A","Laryngoscope Investig Otolaryngol","2019","2020/01/01","PMC6929603","","10.1002/lio2.317"
"31890168","Effect of fermentation and dry roasting on the nutritional quality and sensory attributes of quinoa","Castro-Alba V, Lazarte CE, Perez-Rea D, Sandberg AS, Carlsson NG, Almgren A, Bergenståhl B, Granfeldt Y.","Food Sci Nutr. 2019 Nov 6;7(12):3902-3911. doi: 10.1002/fsn3.1247. eCollection 2019 Dec.","Castro-Alba V","Food Sci Nutr","2019","2020/01/01","PMC6924334","","10.1002/fsn3.1247"
"31890161","Microbiome changes: an indicator of Parkinson's disease?","Haikal C, Chen QQ, Li JY.","Transl Neurodegener. 2019 Dec 24;8:38. doi: 10.1186/s40035-019-0175-7. eCollection 2019.","Haikal C","Transl Neurodegener","2019","2020/01/01","PMC6929290","","10.1186/s40035-019-0175-7"
"31890022","Pretreatment for biorefineries: a review of common methods for efficient utilisation of lignocellulosic materials","Galbe M, Wallberg O.","Biotechnol Biofuels. 2019 Dec 23;12:294. doi: 10.1186/s13068-019-1634-1. eCollection 2019.","Galbe M","Biotechnol Biofuels","2019","2020/01/01","PMC6927169","","10.1186/s13068-019-1634-1"
"31889974","Women's advice to healthcare professionals regarding breastfeeding: ""offer sensitive individualized breastfeeding support""- an interview study","Blixt I, Johansson M, Hildingsson I, Papoutsi Z, Rubertsson C.","Int Breastfeed J. 2019 Dec 16;14:51. doi: 10.1186/s13006-019-0247-4. eCollection 2019.","Blixt I","Int Breastfeed J","2019","2020/01/01","PMC6916109","","10.1186/s13006-019-0247-4"
"31889130","Water channel pore size determines exclusion properties but not solute selectivity","Kitchen P, Salman MM, Pickel SU, Jennings J, Törnroth-Horsefield S, Conner MT, Bill RM, Conner AC.","Sci Rep. 2019 Dec 30;9(1):20369. doi: 10.1038/s41598-019-56814-z.","Kitchen P","Sci Rep","2019","2020/01/01","PMC6937295","","10.1038/s41598-019-56814-z"
"31888674","Fewer hospitalizations and prolonged technique survival with home hemodialysis- a matched cohort study from the Swedish Renal Registry","Rydell H, Ivarsson K, Almquist M, Clyne N, Segelmark M.","BMC Nephrol. 2019 Dec 30;20(1):480. doi: 10.1186/s12882-019-1644-z.","Rydell H","BMC Nephrol","2019","2020/01/01","PMC6937632","","10.1186/s12882-019-1644-z"
